name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
94017,2021-01-27,53.7,47.8,51.2,53.7,38.6,49.6,46.8,85,1.09,100,25,rain,0,0,41.3,32.6,162.1,1006.5,88.9,6,36.6,3.3,2,,2021-01-27T07:16:11,2021-01-27T17:28:39,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-01-28,53.7,44.7,50.4,53.7,44.6,50.2,47.5,89.8,0.35,100,16.67,rain,0,0,25.3,15.4,159.3,1007,91.1,5.4,69.7,6,4,,2021-01-28T07:15:27,2021-01-28T17:29:46,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-01-29,54.5,39.5,47.1,54.5,36.6,46.6,42.2,83.5,0.19,100,16.67,rain,0,0,,6.2,191.7,1013.1,48.6,9,113,9.7,4,,2021-01-29T07:14:42,2021-01-29T17:30:52,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-01-30,54.9,43.6,49.6,54.9,43.6,49.5,42.4,76.9,0,0,0,,0,0,,8.1,93.9,1021.3,66.9,9.6,125.9,11,6,,2021-01-30T07:13:55,2021-01-30T17:31:59,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-01-31,57.5,48.9,53.3,57.5,48.9,53.3,44.1,71.2,0,0,0,,0,0,,9.3,107.3,1020.4,50.2,9.2,115.8,10.1,5,,2021-01-31T07:13:06,2021-01-31T17:33:05,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-02-01,58.7,45.5,52.9,58.7,43,52.4,46.7,79.6,0.43,100,20.83,rain,0,0,28.9,22.2,142.9,1016.2,67,7,153.3,13.2,7,,2021-02-01T07:12:16,2021-02-01T17:34:11,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-02-02,57.2,47.4,53.4,57.2,47.1,53.3,49.8,87.9,0.29,100,29.17,rain,0,0,20.8,14.1,222.3,1019.5,70.3,5.8,101.7,8.9,5,,2021-02-02T07:11:24,2021-02-02T17:35:18,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72585093228,KHAF,KSFO,72064600228,LAHC1,72494023234,PUGC1"
94017,2021-02-03,56.3,39.9,49.5,56.3,39.9,48.7,42.6,77.6,0,0,0,,0,0,,10.4,282.7,1023.7,44.4,9.1,151.4,13,6,,2021-02-03T07:10:31,2021-02-03T17:36:24,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-02-04,57.9,42.1,50.1,57.9,39.5,48.9,36.7,61.2,0,0,0,,0,0,17.2,14.6,259.3,1024.2,9.6,9.6,181.7,15.7,7,,2021-02-04T07:09:36,2021-02-04T17:37:30,0.74,Clear,Clear conditions throughout the day.,clear-day,"KHAF,KSFO,72064600228,72494023234,PUGC1"
94017,2021-02-05,57.9,38.4,47.9,57.9,37.8,47.6,40.3,75.5,0,0,0,,0,0,,15.5,198.5,1022.4,19.4,8.8,185.4,16.1,7,,2021-02-05T07:08:39,2021-02-05T17:38:36,0.8,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KHAF,KSFO,72064600228,72494023234,PUGC1"
